ID,MR_GOLD,MR_MN,MN
583,answer smallest state traverse_1 longest river(all),answer smallest state traverse_1 longest river(all),1
584,answer state loc_1 highest place(all),answer state loc_1 highest place(all),1
585,answer state loc_1 highest place loc_2 countryid(country_name),answer state loc_1 highest place loc_2 countryid(country_name),1
586,answer largest_one area_1 state(all),answer state(all) largest_one area_1,0
587,answer largest_one density_1 state loc_2 countryid(country_name),answer state largest_one density_1 loc_2 countryid(country_name),0
588,answer largest_one density_1 state(all),answer state(all) largest_one density_1,0
589,answer state loc_1 lowest place(all),answer state loc_1 lowest place(all),1
590,answer smallest_one population_1 state(all),answer state(all) smallest_one population_1,0
591,answer smallest_one density_1 state(all),answer state(all) smallest_one density_1,0
592,answer smallest_one area_1 state(all),answer state(all) smallest_one area_1,0
593,answer highest mountain loc_2 countryid(country_name),answer highest mountain loc_2 countryid(country_name),1
594,answer highest mountain loc_2 countryid(country_name),answer highest mountain loc_2 countryid(country_name),1
595,answer area_1 countryid(country_name),answer area_1 countryid(country_name),1
596,answer sum len river(all),answer sum len river(all),1
597,answer sum population_1 state next_to_2 stateid(state_name),answer sum population_1 state next_to_2 stateid(state_name),1
598,answer len riverid(river_name),answer len riverid(river_name),1
599,answer major city loc_2 stateid(state_name),answer major city loc_2 stateid(state_name),1
600,answer major river traverse_2 stateid(state_name),answer major river traverse_2 stateid(state_name),1
601,answer mountain loc_2 stateid(state_name),answer mountain loc_2 stateid(state_name),1
602,answer river traverse_2 stateid(state_name),answer river traverse_2 stateid(state_name),1
603,answer river traverse_2 stateid(state_name),answer river traverse_2 stateid(state_name),1
604,answer most river traverse_2 state(all),answer river traverse_2 most state(all),0
605,answer longest river loc_2 countryid(country_name),answer river longest loc_2 countryid(country_name),0
606,answer river traverse_2 stateid(state_name),answer river traverse_2 stateid(state_name),1
607,answer most river traverse_2 state(all),answer river traverse_2 most state(all),0
608,answer river traverse_2 most state loc_1 city(all),answer river traverse_2 state loc_1 most city(all),0
609,answer river traverse_2 stateid(state_name),answer river traverse_2 stateid(state_name),1
610,answer most river traverse_2 state(all),answer river traverse_2 most state(all),0
611,answer river traverse_2 most state next_to_2 state(all),answer river traverse_2 state next_to_2 most state(all),0
612,answer river loc_2 stateid(state_name),answer river loc_2 stateid(state_name),1
613,answer river loc_2 stateid(state_name),answer river loc_2 stateid(state_name),1
614,answer river loc_2 stateid(state_name),answer river loc_2 stateid(state_name),1
615,answer river loc_2 state next_to_2 stateid(state_name),answer river loc_2 state next_to_2 stateid(state_name),1
616,answer river loc_2 stateid(state_name),answer river loc_2 stateid(state_name),1
617,answer river loc_2 stateid(state_name),answer river loc_2 stateid(state_name),1
618,answer river loc_2 stateid(state_name),answer river loc_2 stateid(state_name),1
619,answer exclude river(all) traverse_2 stateid(state_name),answer river(all) exclude traverse_2 stateid(state_name),0
620,answer river traverse_2 stateid(state_name),answer river traverse_2 stateid(state_name),1
621,answer river traverse_2 stateid(state_name),answer river traverse_2 stateid(state_name),1
622,answer river traverse_2 state next_to_1 stateid(state_name),answer river traverse_2 state stateid(state_name) next_to_1,0
623,answer river traverse_2 state next_to_2 largest_one population_1 state(all),answer river traverse_2 state next_to_2 state(all) largest_one population_1,0
624,answer river traverse_2 largest state(all),answer river traverse_2 largest state(all),1
625,answer river traverse_2 largest_one population_1 state(all),answer river traverse_2 state(all) largest_one population_1,0
626,answer river traverse_2 stateid(state_name),answer river traverse_2 stateid(state_name),1
627,"answer river traverse_2 cityid(city_name, state_name)","answer river traverse_2 cityid(city_name, state_name)",1
628,answer river traverse_2 stateid(state_name),answer river traverse_2 stateid(state_name),1
629,answer river traverse_2 stateid(state_name),answer river traverse_2 stateid(state_name),1
630,answer river traverse_2 stateid(state_name),answer river traverse_2 stateid(state_name),1
631,answer river traverse_2 stateid(state_name),answer river traverse_2 stateid(state_name),1
632,answer river traverse_2 state loc_1 lowest place loc_2 countryid(country_name),answer river traverse_2 state loc_1 lowest place loc_2 countryid(country_name),1
633,"answer river traverse_2 state next_to_2 state loc_1 capital cityid(city_name, _)","answer river traverse_2 state next_to_2 state loc_1 capital cityid(city_name, _)",1
634,answer river traverse_2 stateid(west virginia,answer river traverse_2 stateid(state_name),1
635,answer river traverse_2 most state next_to_2 state(all),answer river traverse_2 state next_to_2 most state(all),0
636,answer largest_one population_1 state next_to_2 stateid(state_name),answer state next_to_2 stateid(state_name) largest_one population_1,0
637,answer state next_to_2 stateid(state_name),answer state next_to_2 stateid(state_name),1
638,answer most state next_to_2 state(all),answer state next_to_2 most state(all),0
639,answer state next_to_2 stateid(state_name),answer state next_to_2 stateid(state_name),1
640,answer fewest state next_to_2 state(all),answer state next_to_2 fewest state(all),0
641,answer fewest state next_to_2 exclude exclude state(all) stateid(state_name) stateid(state_name),answer state next_to_2 fewest state(all) exclude stateid(state_name) exclude stateid(state_name),0
642,answer most state next_to_2 state(all),answer state next_to_2 most state(all),0
643,answer state next_to_2 smallest_one population_1 state(all),answer state next_to_2 state(all) smallest_one population_1,0
644,answer state loc_1 highest place loc_2 countryid(country_name),answer state loc_1 highest place loc_2 countryid(country_name),1
645,answer state loc_1 highest place loc_2 state traverse_1 riverid(river_name),answer state loc_1 highest place loc_2 state riverid(river_name) traverse_1,0
646,answer state loc_1 highest place(all),answer state loc_1 highest place(all),1
647,answer exclude state(all) loc_1 river(all),answer state(all) loc_1 exclude river(all),0
648,"answer state loc_1 capital cityid(city_name, _)","answer state loc_1 capital cityid(city_name, _)",1
649,"answer state loc_1 city cityid(city_name, _)","answer state loc_1 city cityid(city_name, _)",1
650,answer state loc_1 largest_one population_1 city(all),answer state loc_1 city(all) largest_one population_1,0
651,answer state loc_1 largest_one population_1 city(all),answer state loc_1 city(all) largest_one population_1,0
652,answer largest_one density_1 state(all),answer state(all) largest_one density_1,0
653,answer state loc_1 highest place(all),answer state loc_1 highest place(all),1
654,answer largest_one population_1 state(all),answer state(all) largest_one population_1,0
655,answer largest_one density_1 state(all),answer state(all) largest_one density_1,0
656,answer largest_one area_1 state(all),answer state(all) largest_one area_1,0
657,answer state loc_1 largest capital(all),answer state loc_1 largest capital(all),1
658,answer state loc_1 largest city(all),answer state loc_1 largest city(all),1
659,answer largest_one population_1 state(all),answer state(all) largest_one population_1,0
660,answer largest_one density_1 state(all),answer state(all) largest_one density_1,0
661,answer largest_one population_1 state(all),answer state(all) largest_one population_1,0
662,answer smallest_one density_1 state(all),answer state(all) smallest_one density_1,0
663,answer state loc_1 longest river(all),answer state loc_1 longest river(all),1
664,answer smallest_one density_1 state(all),answer state(all) smallest_one density_1,0
665,answer most state loc_1 city(all),answer state loc_1 most city(all),0
666,answer most state loc_1 major city(all),answer state loc_1 most major city(all),0
667,answer most state traverse_1 major river(all),answer state most major river(all) traverse_1,0
668,answer largest_one population_1 state(all),answer state(all) largest_one population_1,0
669,answer most state loc_1 river(all),answer state loc_1 most river(all),0
670,answer most state traverse_1 river(all),answer state most river(all) traverse_1,0
671,answer state loc_1 shortest river(all),answer state loc_1 shortest river(all),1
672,answer smallest_one area_1 state(all),answer state(all) smallest_one area_1,0
673,answer state loc_1 smallest capital(all),answer state loc_1 smallest capital(all),1
674,answer smallest_one population_1 state(all),answer state(all) smallest_one population_1,0
675,answer smallest_one density_1 state(all),answer state(all) smallest_one density_1,0
676,answer smallest_one population_1 state(all),answer state(all) smallest_one population_1,0
677,answer smallest_one density_1 state(all),answer state(all) smallest_one density_1,0
678,"answer state loc_1 cityid(city_name, _)","answer state cityid(city_name, _) loc_1",0
679,"answer state loc_1 capital cityid(city_name, _)","answer state cityid(city_name, _) capital loc_1",0
680,"answer state loc_1 cityid(city_name, _)","answer state cityid(city_name, _) loc_1",0
681,"answer state loc_1 capital cityid(city_name, _)","answer state cityid(city_name, _) capital loc_1",0
682,"answer state loc_1 cityid(city_name, _)","answer state cityid(city_name, _) loc_1",0
683,"answer state loc_1 cityid(city_name, _)","answer state cityid(city_name, _) loc_1",0
684,"answer state loc_1 cityid(city_name, _)","answer state cityid(city_name, _) loc_1",0
685,"answer state loc_1 cityid(city_name, _)","answer state cityid(city_name, _) loc_1",0
686,answer largest state(all),answer state(all) largest,0
687,answer largest_one population_1 state(all),answer state(all) largest_one population_1,0
688,answer state most state loc_1 river(all),answer state state loc_1 most river(all),0
689,answer largest_one population_1 state next_to_2 stateid(state_name),answer state next_to_2 stateid(state_name) largest_one population_1,0
690,answer largest state next_to_2 stateid(state_name),answer state next_to_2 stateid(state_name) largest,0
691,answer largest_one population_1 state traverse_1 riverid(river_name),answer state riverid(river_name) traverse_1 largest_one population_1,0
692,answer state next_to_2 stateid(state_name),answer state next_to_2 stateid(state_name),1
693,answer state next_to_2 stateid(state_name),answer state next_to_2 stateid(state_name),1
694,answer state next_to_2 stateid(state_name),answer state next_to_2 stateid(state_name),1
695,answer state next_to_2 stateid(state_name),answer state next_to_2 stateid(state_name),1
696,answer state next_to_2 stateid(state_name),answer state next_to_2 stateid(state_name),1
697,answer state next_to_2 stateid(state_name),answer state next_to_2 stateid(state_name),1
698,answer state next_to_2 stateid(state_name),answer state next_to_2 stateid(state_name),1
699,answer state next_to_2 stateid(state_name),answer state next_to_2 stateid(state_name),1
700,answer state next_to_2 stateid(state_name),answer state next_to_2 stateid(state_name),1
701,answer state next_to_2 stateid(state_name),answer state next_to_2 stateid(state_name),1
702,answer state next_to_2 stateid(state_name),answer state next_to_2 stateid(state_name),1
703,answer state next_to_2 stateid(state_name),answer state next_to_2 stateid(state_name),1
704,answer state next_to_2 stateid(state_name),answer state next_to_2 stateid(state_name),1
705,answer state next_to_2 stateid(state_name),answer state next_to_2 stateid(state_name),1
706,answer state next_to_2 stateid(state_name),answer state next_to_2 stateid(state_name),1
707,answer state next_to_2 stateid(state_name),answer state next_to_2 stateid(state_name),1
708,answer state next_to_2 stateid(state_name),answer state next_to_2 stateid(state_name),1
709,answer state next_to_2 stateid(state_name),answer state next_to_2 stateid(state_name),1
710,answer state next_to_2 state next_to_2 stateid(state_name),answer state next_to_2 state next_to_2 stateid(state_name),1
711,answer state next_to_2 state next_to_2 stateid(state_name),answer state next_to_2 state next_to_2 stateid(state_name),1
712,answer state next_to_2 state next_to_2 state next_to_2 stateid(state_name),answer state next_to_2 state next_to_2 state next_to_2 stateid(state_name),1
713,answer state next_to_2 state next_to_2 state next_to_2 state next_to_2 stateid(state_name),answer state next_to_2 state next_to_2 state next_to_2 state next_to_2 stateid(state_name),1
714,answer state next_to_2 state next_to_2 largest_one population_1 state(all),answer state next_to_2 state next_to_2 state(all) largest_one population_1,0
715,answer state next_to_2 state traverse_1 riverid(river_name),answer state next_to_2 state riverid(river_name) traverse_1,0
716,answer state next_to_2 state traverse_1 riverid(river_name),answer state next_to_2 state riverid(river_name) traverse_1,0
717,answer state next_to_2 state traverse_1 riverid(river_name),answer state next_to_2 state riverid(river_name) traverse_1,0
718,answer state next_to_2 stateid(state_name),answer state next_to_2 stateid(state_name),1
719,answer intersection state next_to_2 stateid(state_name) loc_1 major river(all),answer state next_to_2 stateid(state_name) intersection loc_1 major river(all),0
720,answer state next_to_2 riverid(river_name),answer state next_to_2 riverid(river_name),1
721,answer state next_to_2 largest_one population_1 state(all),answer state next_to_2 largest_one population_1 state(all),1
722,answer state next_to_2 most state next_to_2 state(all),answer state next_to_2 state next_to_2 most state(all),0
723,answer state next_to_2 most state loc_1 city(all),answer state next_to_2 state loc_1 most city(all),0
724,answer state next_to_2 most state loc_1 major city(all),answer state next_to_2 state loc_1 most major city(all),0
725,answer state next_to_2 smallest_one area_1 state(all),answer state next_to_2 state(all) smallest_one area_1,0
726,answer state next_to_2 most state loc_1 city(all),answer state next_to_2 state loc_1 most city(all),0
727,answer state next_to_2 stateid(state_name),answer state next_to_2 stateid(state_name),1
728,"answer state capital_2 cityid(city_name, _)","answer state capital_2 cityid(city_name, _)",1
729,answer state loc_1 major river(all),answer state loc_1 major river(all),1
730,answer state traverse_1 riverid(river_name),answer state riverid(river_name) traverse_1,0
731,answer state traverse_1 riverid(river_name),answer state riverid(river_name) traverse_1,0
732,answer state traverse_1 riverid(river_name),answer state riverid(river_name) traverse_1,0
733,answer state traverse_1 riverid(river_name),answer state riverid(river_name) traverse_1,0
734,answer state traverse_1 riverid(river_name),answer state riverid(river_name) traverse_1,0
735,answer state traverse_1 riverid(river_name),answer state riverid(river_name) traverse_1,0
736,answer state traverse_1 riverid(river_name),answer state riverid(river_name) traverse_1,0
737,answer state traverse_1 riverid(river_name),answer state riverid(river_name) traverse_1,0
738,answer state traverse_1 shortest river(all),answer state shortest river(all) traverse_1,0
739,answer state loc_1 capital highest place(all),answer state loc_1 capital highest place(all),1
740,"answer state loc_1 city cityid(city_name, _)","answer state loc_1 city cityid(city_name, _)",1
741,"answer state loc_1 city cityid(city_name, _)","answer state loc_1 city cityid(city_name, _)",1
742,"answer state loc_1 city cityid(city_name, _)","answer state loc_1 city cityid(city_name, _)",1
743,"answer state loc_1 city cityid(city_name, _)","answer state loc_1 city cityid(city_name, _)",1
744,"answer state loc_1 city cityid(city_name, _)","answer state loc_1 city cityid(city_name, _)",1
745,"answer state loc_1 city cityid(city_name, _)","answer state loc_1 city cityid(city_name, _)",1
746,"answer state loc_1 city cityid(city_name, _)","answer state loc_1 city cityid(city_name, _)",1
747,answer exclude state(all) next_to_2 state(all),answer state(all) exclude next_to_2 state(all),0
748,answer state loc_1 river riverid(river_name),answer state loc_1 river riverid(river_name),1
749,answer state traverse_1 river(all),answer state river(all) traverse_1,0
750,"answer state loc_1 city cityid(city_name, _)","answer state loc_1 city cityid(city_name, _)",1
751,answer state high_point_2 higher_2 high_point_1 stateid(state_name),answer state high_point_2 higher_2 high_point_1 stateid(state_name),1
752,"answer intersection state loc_2 countryid(country_name) loc_1 city cityid(city_name, _)","answer intersection state loc_2 countryid(country_name) loc_1 city cityid(city_name, _)",1
753,answer state next_to_2 stateid(state_name),answer state next_to_2 stateid(state_name),1
754,answer state next_to_2 stateid(state_name),answer state next_to_2 stateid(state_name),1
755,answer largest_one population_1 city loc_2 stateid(state_name),answer stateid(state_name) city loc_2 largest_one population_1,0
756,answer largest city(all),answer largest city(all),1
757,answer loc_1 mountain(all),answer loc_1 mountain(all),1
758,"answer loc_1 cityid(city_name, _)","answer loc_1 cityid(city_name, _)",1
759,"answer loc_1 cityid(city_name, _)","answer loc_1 cityid(city_name, _)",1
760,"answer loc_1 cityid(city_name, _)","answer loc_1 cityid(city_name, _)",1
761,"answer loc_1 cityid(city_name, _)","answer loc_1 cityid(city_name, _)",1
762,"answer loc_1 cityid(city_name, _)","answer loc_1 cityid(city_name, _)",1
763,"answer loc_1 cityid(city_name, _)","answer loc_1 cityid(city_name, _)",1
764,answer loc_1 stateid(state_name),answer loc_1 stateid(state_name),1
765,answer loc_1 placeid(mount whitney,answer loc_1 placeid(place_name),1
766,answer loc_1 placeid(mount whitney,answer loc_1 placeid(place_name),1
767,answer loc_1 stateid(state_name),answer loc_1 stateid(state_name),1
768,"answer loc_1 cityid(city_name, _)","answer loc_1 cityid(city_name, _)",1
769,"answer loc_1 cityid(city_name, _)","answer loc_1 cityid(city_name, _)",1
770,"answer loc_1 cityid(city_name, _)","answer loc_1 cityid(city_name, _)",1
771,"answer loc_1 cityid(city_name, _)","answer loc_1 cityid(city_name, _)",1
772,"answer loc_1 cityid(city_name, _)","answer loc_1 cityid(city_name, _)",1
773,"answer loc_1 cityid(city_name, _)","answer loc_1 cityid(city_name, _)",1
774,answer loc_1 riverid(river_name),answer loc_1 riverid(river_name),1
775,answer highest mountain loc_2 countryid(country_name),answer highest mountain loc_2 countryid(country_name),1
776,answer highest place loc_2 stateid(state_name),answer highest place loc_2 stateid(state_name),1
777,answer highest place loc_2 stateid(state_name),answer highest place loc_2 stateid(state_name),1
778,answer lowest place loc_2 stateid(state_name),answer lowest place loc_2 stateid(state_name),1
779,answer lowest place loc_2 countryid(country_name),answer lowest place loc_2 countryid(country_name),1
780,answer lowest place loc_2 stateid(state_name),answer lowest place loc_2 stateid(state_name),1
781,answer largest_one population_1 city loc_2 stateid(state_name),answer largest_one population_1 city loc_2 stateid(state_name),1
782,answer loc_1 smallest city(all),answer loc_1 smallest city(all),1
783,answer capital loc_2 state next_to_2 stateid(state_name),answer capital loc_2 state next_to_2 stateid(state_name),1
784,answer exclude capital(all) major city(all),answer capital(all) exclude major city(all),0
785,answer largest_one population_1 city loc_2 stateid(state_name),answer city loc_2 stateid(state_name) largest_one population_1,0
786,answer density_1 state traverse_1 longest river loc_2 countryid(country_name),answer density_1 state longest river loc_2 countryid(country_name) traverse_1,0
787,answer highest exclude mountain(all) loc_2 stateid(state_name),answer highest mountain(all) exclude loc_2 stateid(state_name),0
788,answer longest river loc_2 countryid(country_name),answer longest river loc_2 countryid(country_name),1
789,answer lowest place loc_2 state traverse_1 riverid(river_name),answer lowest place loc_2 state riverid(river_name) traverse_1,0
790,answer shortest river(all),answer shortest river(all),1
791,answer smallest state(all),answer smallest state(all),1
792,answer largest_one population_1 state next_to_2 stateid(state_name),answer state next_to_2 stateid(state_name) largest_one population_1,0
793,answer most river traverse_2 state(all),answer river traverse_2 most state(all),0
794,answer most river traverse_2 state(all),answer river traverse_2 most state(all),0
795,answer most river traverse_2 state(all),answer river traverse_2 most state(all),0
796,answer most river traverse_2 state(all),answer river traverse_2 most state(all),0
797,answer river loc_2 stateid(state_name),answer river loc_2 stateid(state_name),1
798,answer exclude river(all) traverse_2 stateid(state_name),answer river(all) exclude traverse_2 stateid(state_name),0
799,answer exclude river(all) traverse_2 countryid(country_name),answer river(all) exclude traverse_2 countryid(country_name),0
800,answer river traverse_2 stateid(state_name),answer river traverse_2 stateid(state_name),1
801,answer river traverse_2 state next_to_2 stateid(state_name),answer river traverse_2 state next_to_2 stateid(state_name),1
802,"answer river traverse_2 state next_to_2 state loc_1 capital cityid(city_name, _)","answer river traverse_2 state next_to_2 state loc_1 capital cityid(city_name, _)",1
803,answer river traverse_2 fewest state loc_1 city(all),answer river traverse_2 state loc_1 fewest city(all),0
804,answer river traverse_2 state loc_1 largest city loc_2 countryid(country_name),answer river traverse_2 state loc_1 largest city loc_2 countryid(country_name),1
805,answer river traverse_2 state loc_1 lowest place loc_2 countryid(country_name),answer river traverse_2 state loc_1 lowest place loc_2 countryid(country_name),1
806,answer state next_to_2 stateid(state_name),answer state next_to_2 stateid(state_name),1
807,answer state next_to_2 stateid(state_name),answer state next_to_2 stateid(state_name),1
808,answer state next_to_2 stateid(state_name),answer state next_to_2 stateid(state_name),1
809,answer most state next_to_2 state(all),answer state next_to_2 most state(all),0
810,answer most state next_to_2 state(all),answer state next_to_2 most state(all),0
811,answer smallest_one population_1 capital(all),answer capital(all) smallest_one population_1,0
812,answer most state loc_1 river(all),answer state loc_1 most river(all),0
813,answer largest_one population_1 state(all),answer state(all) largest_one population_1,0
814,answer largest_one density_1 state(all),answer state(all) largest_one density_1,0
815,answer largest_one population_1 state(all),answer state(all) largest_one population_1,0
816,answer state loc_1 highest place(all),answer state loc_1 highest place(all),1
817,answer state loc_1 highest place(all),answer state loc_1 highest place(all),1
818,answer state loc_1 highest place(all),answer state loc_1 highest place(all),1
819,answer largest_one density_1 state(all),answer state(all) largest_one density_1,0
820,answer state loc_1 largest city(all),answer state loc_1 largest city(all),1
821,answer largest_one density_1 state(all),answer state(all) largest_one density_1,0
822,answer smallest_one density_1 state(all),answer state(all) smallest_one density_1,0
823,answer state loc_1 longest river(all),answer state loc_1 longest river(all),1
824,answer state loc_1 lowest place(all),answer state loc_1 lowest place(all),1
825,answer state loc_1 lowest place loc_2 next_to_2 stateid(state_name),answer state loc_1 lowest place loc_2 next_to_2 stateid(state_name),1
826,answer smallest_one density_1 state(all),answer state(all) smallest_one density_1,0
827,answer most state loc_1 major city(all),answer state loc_1 most major city(all),0
828,answer most state loc_1 major river(all),answer state loc_1 most major river(all),0
829,answer most state traverse_1 major river(all),answer state most major river(all) traverse_1,0
830,answer largest_one population_1 state(all),answer state(all) largest_one population_1,0
831,answer largest_one population_1 state(all),answer state(all) largest_one population_1,0
832,answer most state loc_1 river(all),answer state loc_1 most river(all),0
833,answer most state traverse_1 river(all),answer state most river(all) traverse_1,0
834,answer state loc_1 riverid(river_name),answer state loc_1 riverid(river_name),1
835,answer smallest_one area_1 state next_to_2 stateid(state_name),answer state smallest_one area_1 next_to_2 stateid(state_name),0
836,answer smallest_one density_1 state(all),answer state(all) smallest_one density_1,0
837,answer smallest_one density_1 state(all),answer state(all) smallest_one density_1,0
838,answer smallest_one density_1 state(all),answer state(all) smallest_one density_1,0
839,"answer state loc_1 cityid(city_name, _)","answer state cityid(city_name, _) loc_1",0
840,answer state loc_1 placeid(place_name),answer state placeid(place_name) loc_1,0
841,"answer state loc_1 city cityid(city_name, _)","answer state city cityid(city_name, _) loc_1",0
842,answer state loc_1 largest city loc_2 stateid(state_name),answer state largest city loc_2 stateid(state_name) loc_1,0
843,answer smallest state(all),answer state(all) smallest,0
844,answer state next_to_2 stateid(state_name),answer state next_to_2 stateid(state_name),1
845,answer state next_to_2 stateid(state_name),answer state next_to_2 stateid(state_name),1
846,answer state next_to_2 stateid(state_name),answer state next_to_2 stateid(state_name),1
847,answer state next_to_2 stateid(state_name),answer state next_to_2 stateid(state_name),1
848,answer state next_to_2 stateid(state_name),answer state next_to_2 stateid(state_name),1
849,answer state next_to_2 stateid(state_name),answer state next_to_2 stateid(state_name),1
850,answer state next_to_2 stateid(state_name),answer state next_to_2 stateid(state_name),1
851,answer state next_to_2 stateid(state_name),answer state next_to_2 stateid(state_name),1
852,answer state next_to_2 stateid(state_name),answer state next_to_2 stateid(state_name),1
853,answer state next_to_2 stateid(state_name),answer state next_to_2 stateid(state_name),1
854,answer state next_to_2 stateid(state_name),answer state next_to_2 stateid(state_name),1
855,answer exclude state(all) next_to_2 state(all),answer state(all) next_to_2 exclude state(all),0
856,answer state next_to_2 stateid(state_name),answer state next_to_2 stateid(state_name),1
857,answer state next_to_2 state traverse_1 riverid(river_name),answer state next_to_2 state traverse_1 riverid(river_name),1
858,answer state next_to_2 stateid(state_name),answer state next_to_2 stateid(state_name),1
859,answer state next_to_2 longest river loc_2 countryid(country_name),answer state next_to_2 longest river loc_2 countryid(country_name),1
860,answer state next_to_2 riverid(river_name),answer state next_to_2 riverid(river_name),1
861,answer state next_to_2 smallest_one area_1 state(all),answer state next_to_2 state(all) smallest_one area_1,0
862,answer state loc_1 largest city capital_1 state(all),answer state loc_1 capital_1 city largest state(all),0
863,answer state traverse_1 riverid(river_name),answer state riverid(river_name) traverse_1,0
864,answer exclude state(all) next_to_2 stateid(state_name),answer state(all) exclude next_to_2 stateid(state_name),0
865,answer state traverse_1 riverid(river_name),answer state riverid(river_name) traverse_1,0
866,answer state traverse_1 riverid(river_name),answer state riverid(river_name) traverse_1,0
867,answer state traverse_1 longest river(all),answer state longest river(all) traverse_1,0
868,answer state traverse_1 longest river(all),answer state longest river(all) traverse_1,0
869,answer state traverse_1 riverid(river_name),answer state riverid(river_name) traverse_1,0
870,answer state traverse_1 riverid(river_name),answer state riverid(river_name) traverse_1,0
871,answer state traverse_1 riverid(river_name),answer state riverid(river_name) traverse_1,0
872,answer state traverse_1 riverid(river_name),answer state riverid(river_name) traverse_1,0
873,"answer state loc_1 major city cityid(city_name, _)","answer state loc_1 major city cityid(city_name, _)",1
874,answer state loc_1 river(all),answer state loc_1 river(all),1
875,"answer state loc_1 city cityid(city_name, _)","answer state loc_1 city cityid(city_name, _)",1
876,answer state loc_1 place higher_2 highest place loc_2 stateid(state_name),answer state loc_1 place higher_2 highest place loc_2 stateid(state_name),1
877,answer state loc_1 place higher_2 highest place loc_2 stateid(state_name),answer state loc_1 place higher_2 highest place loc_2 stateid(state_name),1
878,answer state traverse_1 longest river loc_2 countryid(country_name),answer state traverse_1 longest river loc_2 countryid(country_name),1
879,answer largest_one density_1 city(all),answer city(all) largest_one density_1,0